year,Times,Shanghai,QS
2005,,153,
2006,,151,
2007,,151,
2008,,152,
2009,,109,
2010,,108,
2011,115,111,
2012,154,112,
2013,134,113,
2014,142,116,65
2015,155,151,57
2016,167,,
